symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata,sig
ES,LONG,2025-01-31 16:15:00+00:00,6146.75,2025-01-31 16:30:00+00:00,6137.25,1,-49.9,9.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=22 | RSI=75 | brkH=6144.25 | SL=8.7pt | TP=17.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.767344889261592, 'atr_value': 5.767344889261592, 'adx_value': 22.063484215197555, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3871}",MOM_BRK_LONG
ES,LONG,2025-02-11 16:00:00+00:00,6087.0,2025-02-11 17:00:00+00:00,6077.0,1,-52.4,10.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=20 | RSI=67 | brkH=6084.50 | SL=9.4pt | TP=18.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.254952164249715, 'atr_value': 6.254952164249715, 'adx_value': 20.262014409372114, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4514}",MOM_BRK_LONG
ES,LONG,2025-02-14 15:15:00+00:00,6142.25,2025-02-14 15:30:00+00:00,6135.0,1,-38.65,7.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=28 | RSI=69 | brkH=6141.75 | SL=6.7pt | TP=13.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 4.457622120329125, 'atr_value': 4.457622120329125, 'adx_value': 27.627662760586063, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4787}",MOM_BRK_LONG
ES,LONG,2025-02-19 19:30:00+00:00,6162.5,2025-02-19 20:15:00+00:00,6153.0,1,-49.9,9.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=22 | RSI=66 | brkH=6160.00 | SL=9.2pt | TP=18.5pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.145761120537811, 'atr_value': 6.145761120537811, 'adx_value': 22.319995174191277, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5064}",MOM_BRK_LONG
ES,LONG,2025-03-25 14:45:00+00:00,5835.5,2025-03-25 15:45:00+00:00,5824.5,1,-57.4,11.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=22 | RSI=67 | brkH=5834.00 | SL=10.3pt | TP=20.5pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.8493912324693795, 'atr_value': 6.8493912324693795, 'adx_value': 21.810723185192597, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 7257}",MOM_BRK_LONG
ES,LONG,2025-05-16 19:15:00+00:00,5973.75,2025-05-16 20:00:00+00:00,5974.0,1,-1.15,0.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=27 | RSI=70 | brkH=5972.75 | SL=10.4pt | TP=20.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.93756050405039, 'atr_value': 6.93756050405039, 'adx_value': 26.688599205441534, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 10679}",MOM_BRK_LONG
ES,LONG,2025-05-27 18:00:00+00:00,5936.0,2025-05-27 19:30:00+00:00,5924.5,1,-59.9,11.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=31 | RSI=75 | brkH=5932.25 | SL=10.9pt | TP=21.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 7.283971495496741, 'atr_value': 7.283971495496741, 'adx_value': 31.060257843487452, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 11302}",MOM_BRK_LONG
ES,LONG,2025-06-03 16:30:00+00:00,5981.25,2025-06-03 18:00:00+00:00,5971.0,1,-53.65,10.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=46 | RSI=81 | brkH=5977.50 | SL=10.1pt | TP=20.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.703202341012897, 'atr_value': 6.703202341012897, 'adx_value': 46.274513211467756, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 11756}",MOM_BRK_LONG
ES,LONG,2025-06-10 17:00:00+00:00,6036.25,2025-06-10 18:00:00+00:00,6026.25,1,-52.4,10.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=18 | RSI=67 | brkH=6035.25 | SL=9.6pt | TP=19.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.407111275418459, 'atr_value': 6.407111275418459, 'adx_value': 18.106610257353807, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 12218}",MOM_BRK_LONG
ES,LONG,2025-06-24 16:30:00+00:00,6142.0,2025-06-24 18:30:00+00:00,6146.75,1,21.35,4.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=18 | RSI=66 | brkH=6138.75 | SL=11.1pt | TP=22.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 7.40884331244414, 'atr_value': 7.40884331244414, 'adx_value': 18.38000129671889, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 13120}",MOM_BRK_LONG
ES,LONG,2025-06-26 17:45:00+00:00,6192.25,2025-06-26 19:45:00+00:00,6189.75,1,-14.9,2.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=26 | RSI=76 | brkH=6189.25 | SL=7.7pt | TP=15.5pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.133490430311959, 'atr_value': 5.133490430311959, 'adx_value': 25.716517849072897, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 13309}",MOM_BRK_LONG
ES,LONG,2025-07-02 20:00:00+00:00,6275.5,2025-07-03 12:30:00+00:00,6290.25,1,71.35,14.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=24 | RSI=69 | brkH=6273.75 | SL=7.5pt | TP=15.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 4.9822763452883425, 'atr_value': 4.9822763452883425, 'adx_value': 23.79498702552215, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 13686}",MOM_BRK_LONG
ES,LONG,2025-07-03 14:15:00+00:00,6317.75,2025-07-03 16:15:00+00:00,6328.75,1,52.6,11.0,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=36 | RSI=85 | brkH=6315.25 | SL=9.3pt | TP=18.5pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.176946524611582, 'atr_value': 6.176946524611582, 'adx_value': 35.99774019856822, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 13755}",MOM_BRK_LONG
ES,LONG,2025-07-03 16:45:00+00:00,6331.5,2025-07-03 17:00:00+00:00,6322.75,1,-46.15,8.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=59 | RSI=79 | brkH=6331.25 | SL=8.4pt | TP=16.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.585077006829559, 'atr_value': 5.585077006829559, 'adx_value': 58.547490242999615, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 13765}",MOM_BRK_LONG
ES,LONG,2025-07-17 15:30:00+00:00,6328.0,2025-07-17 17:30:00+00:00,6331.25,1,13.85,3.25,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=17 | RSI=68 | brkH=6326.75 | SL=9.8pt | TP=19.5pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.5064999189448764, 'atr_value': 6.5064999189448764, 'adx_value': 16.99586765062747, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 14649}",MOM_BRK_LONG
ES,LONG,2025-07-17 18:30:00+00:00,6340.0,2025-07-17 20:00:00+00:00,6340.25,1,-1.15,0.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=23 | RSI=71 | brkH=6336.50 | SL=7.9pt | TP=15.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.283524740795762, 'atr_value': 5.283524740795762, 'adx_value': 22.992441216876184, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 14661}",MOM_BRK_LONG
ES,LONG,2025-07-23 16:00:00+00:00,6377.75,2025-07-23 18:00:00+00:00,6382.0,1,18.85,4.25,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=19 | RSI=63 | brkH=6376.75 | SL=9.8pt | TP=19.5pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.537853469755254, 'atr_value': 6.537853469755254, 'adx_value': 19.392620765144517, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 15019}",MOM_BRK_LONG
ES,LONG,2025-07-25 17:15:00+00:00,6425.25,2025-07-25 19:15:00+00:00,6429.0,1,16.35,3.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=24 | RSI=74 | brkH=6424.50 | SL=6.4pt | TP=12.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 4.261283694252782, 'atr_value': 4.261283694252782, 'adx_value': 24.29564121074177, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 15208}",MOM_BRK_LONG
