id,order_id,timestamp,event_type,status,filled,remaining,avg_fill_price,message
150,6004,2025-11-06T04:06:17.258614,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
151,6004,2025-11-06T04:06:17.260436,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
152,6004,2025-11-06T04:06:17.263316,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
153,6005,2025-11-06T04:06:17.264849,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
154,6006,2025-11-06T04:06:17.266016,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
155,6040,2025-11-06T04:07:46.935803,PLACED,Placed,,,,"BUY 1 ES"
156,6041,2025-11-06T04:07:46.937983,PLACED,Placed,,,,"SELL 1 ES"
157,6041,2025-11-06T04:07:47.191507,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
158,6042,2025-11-06T04:07:47.193883,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
159,6040,2025-11-06T04:07:47.195716,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
160,6040,2025-11-06T04:07:47.197032,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
161,6040,2025-11-06T04:07:47.198603,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
162,6041,2025-11-06T04:07:47.200145,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
163,6042,2025-11-06T04:07:47.201509,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
164,6046,2025-11-06T04:07:52.601174,PLACED,Placed,,,,"BUY 1 ES"
165,6047,2025-11-06T04:07:52.603925,PLACED,Placed,,,,"SELL 1 ES"
166,6047,2025-11-06T04:07:52.665301,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
167,6048,2025-11-06T04:07:52.668006,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
168,6046,2025-11-06T04:07:52.670904,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
169,6047,2025-11-06T04:07:52.673248,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
170,6046,2025-11-06T04:07:52.674957,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
171,6046,2025-11-06T04:07:52.676715,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
172,6048,2025-11-06T04:07:52.678916,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
173,6052,2025-11-06T04:07:58.282041,PLACED,Placed,,,,"BUY 1 ES"
174,6053,2025-11-06T04:07:58.284271,PLACED,Placed,,,,"SELL 1 ES"
175,6053,2025-11-06T04:07:58.341521,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
176,6054,2025-11-06T04:07:58.343796,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
177,6052,2025-11-06T04:07:58.345878,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
178,6052,2025-11-06T04:07:58.347457,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
179,6052,2025-11-06T04:07:58.348848,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
180,6053,2025-11-06T04:07:58.349990,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
181,6054,2025-11-06T04:07:58.350901,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
182,6060,2025-11-06T04:08:09.539579,PLACED,Placed,,,,"BUY 1 ES"
183,6061,2025-11-06T04:08:09.541529,PLACED,Placed,,,,"SELL 1 ES"
184,6061,2025-11-06T04:08:09.786769,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
185,6062,2025-11-06T04:08:09.788163,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
186,6060,2025-11-06T04:08:09.790630,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
187,6060,2025-11-06T04:08:09.791543,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
188,6060,2025-11-06T04:08:09.792323,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
189,6061,2025-11-06T04:08:09.793005,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
190,6062,2025-11-06T04:08:09.793799,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
191,6076,2025-11-06T04:08:43.240771,PLACED,Placed,,,,"BUY 1 ES"
192,6077,2025-11-06T04:08:43.243329,PLACED,Placed,,,,"SELL 1 ES"
193,6077,2025-11-06T04:08:43.496613,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
194,6078,2025-11-06T04:08:43.498560,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
195,6076,2025-11-06T04:08:43.503365,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
196,6076,2025-11-06T04:08:43.504469,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
197,6076,2025-11-06T04:08:43.505460,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
198,6077,2025-11-06T04:08:43.506252,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
199,6078,2025-11-06T04:08:43.506988,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
200,6082,2025-11-06T04:08:48.921946,PLACED,Placed,,,,"BUY 1 ES"
201,6083,2025-11-06T04:08:48.924213,PLACED,Placed,,,,"SELL 1 ES"
202,6083,2025-11-06T04:08:48.982772,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
203,6084,2025-11-06T04:08:48.985050,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
204,6082,2025-11-06T04:08:48.987193,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
205,6082,2025-11-06T04:08:48.988737,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
206,6082,2025-11-06T04:08:48.990086,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
207,6083,2025-11-06T04:08:48.991768,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
208,6084,2025-11-06T04:08:48.993803,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
209,6094,2025-11-06T04:09:11.448009,PLACED,Placed,,,,"BUY 1 ES"
210,6095,2025-11-06T04:09:11.450681,PLACED,Placed,,,,"SELL 1 ES"
211,6095,2025-11-06T04:09:11.702206,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
212,6096,2025-11-06T04:09:11.705211,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
213,6094,2025-11-06T04:09:11.707323,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
214,6095,2025-11-06T04:09:11.708818,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
215,6094,2025-11-06T04:09:11.710365,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
216,6094,2025-11-06T04:09:11.712012,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
217,6096,2025-11-06T04:09:11.713400,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
218,6151,2025-11-06T04:12:08.558183,PLACED,Placed,,,,"SELL 1 ES"
219,6152,2025-11-06T04:12:08.559342,PLACED,Placed,,,,"BUY 1 ES"
220,6152,2025-11-06T04:12:08.810602,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
221,6153,2025-11-06T04:12:08.813618,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
222,6151,2025-11-06T04:12:08.815805,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
223,6151,2025-11-06T04:12:08.817263,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
224,6151,2025-11-06T04:12:08.818638,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
225,6152,2025-11-06T04:12:08.820013,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
226,6153,2025-11-06T04:12:08.821400,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
227,6209,2025-11-06T04:14:40.153294,PLACED,Placed,,,,"SELL 1 ES"
228,6210,2025-11-06T04:14:40.155336,PLACED,Placed,,,,"BUY 1 ES"
229,6210,2025-11-06T04:14:40.564732,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
230,6211,2025-11-06T04:14:40.566400,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
231,6209,2025-11-06T04:14:40.568126,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
232,6210,2025-11-06T04:14:40.569513,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
233,6209,2025-11-06T04:14:40.570415,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
234,6209,2025-11-06T04:14:40.571286,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
235,6211,2025-11-06T04:14:40.571908,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
236,6327,2025-11-06T04:38:34.067273,PLACED,Placed,,,,"SELL 1 ES"
237,6328,2025-11-06T04:38:34.071283,PLACED,Placed,,,,"BUY 1 ES"
238,6329,2025-11-06T04:38:34.073328,PLACED,Placed,,,,"BUY 1 ES"
239,6328,2025-11-06T04:38:34.385626,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
240,6329,2025-11-06T04:38:34.398789,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
241,6327,2025-11-06T04:38:34.400146,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
242,6327,2025-11-06T04:38:34.412729,EXECUTION,,,,,"Filled 1.0 @ 6825.50"
243,6327,2025-11-06T04:38:34.413807,STATUS_UPDATE,Filled,1,0,6825.5,"Status: Filled"
244,6328,2025-11-06T04:38:34.414746,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
245,6329,2025-11-06T04:38:34.415567,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
246,6328,2025-11-06T04:38:34.416782,STATUS_UPDATE,Submitted,0,1,,"Status: Submitted"
247,6381,2025-11-06T04:40:55.218990,PLACED,Placed,,,,"BUY 1 ES"
248,6381,2025-11-06T04:40:55.291425,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
249,6381,2025-11-06T04:40:55.302452,EXECUTION,,,,,"Filled 1.0 @ 6825.25"
250,6381,2025-11-06T04:40:55.305060,STATUS_UPDATE,Filled,1,0,6825.25,"Status: Filled"
251,6399,2025-11-06T04:41:40.265757,PLACED,Placed,,,,"BUY 1 ES"
252,6399,2025-11-06T04:41:40.335165,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
253,6399,2025-11-06T04:41:40.342822,EXECUTION,,,,,"Filled 1.0 @ 6825.75"
254,6399,2025-11-06T04:41:40.344790,STATUS_UPDATE,Filled,1,0,6825.75,"Status: Filled"
255,6457,2025-11-06T04:44:17.608733,PLACED,Placed,,,,"SELL 1 ES"
256,6457,2025-11-06T04:44:17.684341,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
257,6457,2025-11-06T04:44:17.694384,EXECUTION,,,,,"Filled 1.0 @ 6825.50"
258,6457,2025-11-06T04:44:17.697410,STATUS_UPDATE,Filled,1,0,6825.5,"Status: Filled"
259,6467,2025-11-06T04:44:40.171048,PLACED,Placed,,,,"SELL 1 ES"
260,6467,2025-11-06T04:44:40.237945,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
261,6467,2025-11-06T04:44:40.244119,EXECUTION,,,,,"Filled 1.0 @ 6826.00"
262,6467,2025-11-06T04:44:40.246849,STATUS_UPDATE,Filled,1,0,6826.0,"Status: Filled"
263,6329,2025-11-06T04:51:54.403894,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
264,6328,2025-11-06T04:51:54.407247,STATUS_UPDATE,Submitted,0,1,,"Status: Submitted"
265,6485,2025-11-06T04:52:29.793895,PLACED,Placed,,,,"BUY 1 ES"
266,6485,2025-11-06T04:52:29.974872,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
267,6485,2025-11-06T04:52:29.981113,EXECUTION,,,,,"Filled 1.0 @ 6824.25"
