date,signal_type,right,strike,confidence,confidence_tier,regime,spy_entry,spy_exit,entry_premium,exit_premium,pnl_per_contract,pnl_pct,holding_hours,vix,iv_rank,month
2025-08-26,CALL_SWEEP,C,646.0,0.8032748285753565,HIGH,TREND_UP,639.733642578125,643.4619750976562,2.83,3.36,52.88,18.7,48.0,14.619999885559082,2.9593401241518995,2025-08
2025-08-27,CALL_SWEEP,C,640.0,0.8508707347596405,HIGH,TREND_UP,641.1912841796875,639.6245727539062,6.17,4.6,-157.42,-25.51,48.0,14.850000381469727,3.551209621459291,2025-08
2025-08-28,CALL_SWEEP,C,644.0,0.8516991134621046,HIGH,TREND_UP,643.4619750976562,634.884765625,5.14,1.9,-256.92,-50.0,48.0,14.430000305175781,2.4704065864878393,2025-08
2025-08-29,CALL_SWEEP,C,644.0,0.8108104174728553,HIGH,TREND_UP,639.6245727539062,638.3255615234375,3.75,2.7,-104.54,-27.91,48.0,15.359999656677246,4.863611203243179,2025-08
2025-09-03,CALL_SWEEP,C,642.0,0.8154008804292813,HIGH,TREND_UP,638.3255615234375,641.796142578125,4.35,4.64,29.16,6.7,48.0,16.350000381469727,7.411219759463518,2025-09
2025-09-04,CALL_SWEEP,C,634.0,0.7765798017568127,MEDIUM,TREND_UP,643.6602783203125,643.3727416992188,11.97,10.97,-99.55,-8.32,48.0,15.300000190734863,4.7092121720348885,2025-09
2025-09-05,CALL_SWEEP,C,640.0,0.8167408178892359,HIGH,TREND_UP,641.796142578125,644.8601684570312,6.63,7.62,98.78,14.9,48.0,15.180000305175781,4.400411655489952,2025-09
2025-09-08,CALL_SWEEP,C,644.0,0.8622344783203397,HIGH,TREND_UP,643.3727416992188,646.724365234375,5.34,6.35,101.61,19.04,48.0,15.109999656677246,4.220276180242475,2025-09
2025-09-09,CALL_SWEEP,C,644.0,0.855209015974047,HIGH,TREND_UP,644.8601684570312,652.0988159179688,6.09,9.93,383.94,63.04,48.0,15.039999961853027,4.0401431591233505,2025-09
2025-09-10,CALL_SWEEP,C,645.0,0.8411084145867521,HIGH,TREND_UP,646.724365234375,651.880615234375,6.69,9.02,232.76,34.79,48.0,15.350000381469727,4.8378796674607,2025-09
2025-09-11,CALL_SWEEP,C,661.0,0.7817155125119657,MEDIUM,TREND_UP,652.0988159179688,655.3511352539062,2.17,2.65,47.5,21.88,48.0,14.710000038146973,3.1909411250926896,2025-09
2025-09-12,CALL_SWEEP,C,654.0,0.852922883674812,HIGH,TREND_UP,651.880615234375,654.4488525390625,4.58,5.43,85.29,18.62,48.0,14.760000228881836,3.3196086205185007,2025-09
2025-09-15,CALL_SWEEP,C,658.0,0.828933128767437,HIGH,TREND_UP,655.3511352539062,653.6357421875,4.71,3.09,-161.99,-34.4,48.0,15.6899995803833,5.712813237273841,2025-09
2025-09-16,CALL_SWEEP,C,659.0,0.7927384848471168,MEDIUM,TREND_UP,654.4488525390625,656.6898193359375,4.15,3.93,-22.46,-5.41,48.0,16.360000610351562,7.43695374937435,2025-09
2025-09-17,CALL_SWEEP,C,656.0,0.8371669987878678,HIGH,TREND_UP,653.6357421875,659.9423217773438,4.83,7.23,240.12,49.71,48.0,15.720000267028809,5.79001520700634,2025-09
2025-09-18,CALL_SWEEP,C,657.0,0.7746116848761221,MEDIUM,TREND_UP,656.6898193359375,663.0645141601562,5.82,8.85,302.76,51.98,48.0,15.699999809265137,5.738547227184674,2025-09
2025-09-19,CALL_SWEEP,C,662.0,0.8533690606207214,HIGH,TREND_UP,659.9423217773438,659.4551391601562,4.93,4.13,-79.3,-16.1,48.0,15.449999809265137,5.09521220418397,2025-09
2025-09-22,CALL_SWEEP,C,660.0,0.7673327025973167,MEDIUM,TREND_UP,663.0645141601562,657.3569946289062,7.88,3.94,-393.81,-50.0,48.0,16.100000381469727,6.767884736462813,2025-09
2025-09-23,CALL_SWEEP,C,664.0,0.823804592764079,HIGH,TREND_UP,659.4551391601562,654.3242797851562,4.3,1.79,-214.99,-50.0,48.0,16.639999389648438,8.157485833850847,2025-09
2025-09-24,CALL_SWEEP,C,658.0,0.7828192611042624,MEDIUM,TREND_UP,657.3569946289062,658.072998046875,5.84,4.94,-89.92,-15.4,48.0,16.18000030517578,6.973751747492771,2025-09
2025-09-25,CALL_SWEEP,C,652.0,0.8288124053625665,HIGH,TREND_UP,654.3242797851562,659.9224243164062,7.59,10.17,258.38,34.04,48.0,16.739999771118164,8.41482082470247,2025-09
2025-09-26,CALL_SWEEP,C,664.0,0.850120270044359,HIGH,TREND_UP,658.072998046875,662.4082641601562,3.31,4.47,116.24,35.14,48.0,15.289999961853027,4.683478182124055,2025-09
2025-09-29,CALL_SWEEP,C,669.0,0.7679797322177,MEDIUM,TREND_UP,659.9224243164062,664.6654663085938,2.61,3.35,73.79,28.26,48.0,16.1200008392334,6.81935271628448,2025-09
2025-09-30,CALL_SWEEP,C,666.0,0.8358004179030804,HIGH,TREND_UP,662.4082641601562,665.4309692382812,4.58,5.09,50.51,11.02,48.0,16.280000686645508,7.231086738344393,2025-09
2025-10-01,CALL_SWEEP,C,671.0,0.8391257244471908,HIGH,TREND_UP,664.6654663085938,665.421142578125,3.56,3.01,-54.92,-15.41,48.0,16.290000915527344,7.256820728255227,2025-10
