symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata
MES,SHORT,2025-07-31 18:00:00+00:00,6510.0,2025-07-31 18:15:00+00:00,6500.0,1,47.6,10.0,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=59 | RSI=25 | MACD_H=-2.56 | e9=6533.2 | #2 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 5.905985138960202, 'atr_value': 5.905985138960202, 'adx_value': 58.857830498365836, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3858}"
MES,SHORT,2025-08-01 14:45:00+00:00,6387.75,2025-08-01 15:45:00+00:00,6390.25,1,-14.9,2.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=67 | RSI=30 | MACD_H=-3.28 | e9=6397.1 | #1 | SL=9.5pts | TP=11.9pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 9.486246342505432, 'atr_value': 9.486246342505432, 'adx_value': 66.64820003361666, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3934}"
MES,SHORT,2025-08-01 17:45:00+00:00,6359.75,2025-08-01 18:45:00+00:00,6366.75,1,-37.4,7.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=41 | RSI=31 | MACD_H=-0.35 | e9=6379.7 | #2 | SL=9.1pts | TP=11.4pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 9.133088225169022, 'atr_value': 9.133088225169022, 'adx_value': 40.534060996196885, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3946}"
MES,LONG,2025-08-08 14:45:00+00:00,6518.5,2025-08-08 15:00:00+00:00,6511.75,1,-36.15,6.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=40 | RSI=89 | MACD_H=1.46 | ATR=2.4', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 2.4028220449103035, 'atr_value': 2.4028220449103035, 'adx_value': 40.376113285731115, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4337}"
MES,LONG,2025-08-08 18:30:00+00:00,6527.0,2025-08-08 20:15:00+00:00,6534.25,1,33.85,7.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=51 | RSI=76 | MACD_H=0.88 | e9=6519.6 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 2.4069363152495376, 'atr_value': 2.4069363152495376, 'adx_value': 51.07476147912508, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4352}"
MES,LONG,2025-08-11 14:15:00+00:00,6532.5,2025-08-11 15:15:00+00:00,6526.0,1,-34.9,6.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=20 | RSI=82 | MACD_H=0.71 | ATR=1.5', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.466429252312297, 'atr_value': 1.466429252312297, 'adx_value': 19.74097048206862, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4387}"
MES,LONG,2025-08-12 15:00:00+00:00,6550.25,2025-08-12 15:30:00+00:00,6562.75,1,60.1,12.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=34 | RSI=67 | MACD_H=1.11 | ATR=5.2', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 5.226087875140226, 'atr_value': 5.226087875140226, 'adx_value': 34.13054790180042, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4436}"
MES,LONG,2025-08-12 16:00:00+00:00,6563.25,2025-08-12 17:45:00+00:00,6572.0,1,41.35,8.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=36 | RSI=73 | MACD_H=3.48 | e9=6548.5 | #2 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 4.7815961006320284, 'atr_value': 4.7815961006320284, 'adx_value': 36.469829494803534, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4440}"
MES,LONG,2025-08-13 20:00:00+00:00,6599.25,2025-08-14 00:45:00+00:00,6592.75,1,-34.9,6.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=21 | RSI=73 | MACD_H=0.20 | ATR=1.7', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.7367152861557218, 'atr_value': 1.7367152861557218, 'adx_value': 20.786846866726076, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4541}"
MES,LONG,2025-08-14 17:30:00+00:00,6600.25,2025-08-14 19:30:00+00:00,6599.75,1,-4.9,0.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=26 | RSI=63 | MACD_H=0.81 | ATR=1.6', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.5866638736786356, 'atr_value': 1.5866638736786356, 'adx_value': 25.717692053222855, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4620}"
